
ARPANET	ˈɑɹ.pəˌnɛt
Bracken	ˈbɹækən
Bradenton	ˈbɹeɪdəntən
Brest	bɹɛst
Brexit	ˈbɹɛksɪt
Briseis	bɹaɪˈsiːɪs
British Columbia	ˈbɹɪt.ɪʃ kə.ˈlʌm.bi.ə
Britt	bɹɪt
Broadwas	ˈbɹɔːdwəs
Buddha	ˈbʊdə
Buffy	ˈbʌfi
Bunbury	ˈbʌnbərɪ
Bure	bjʊə(ɹ)
Burma	ˈbɝmə
Buster	ˈbʌstɚ
Byzantine Empire	ˈbɪzəntiːn ˈɛmpaɪə(ɹ)
C	siː
CHNOPS	ʃnɑps
CISC	sɪsk
CPAP	siː piː eɪ piː
CSUN	ˈsiːsʌn
Cabernet Sauvignon	kæbə(ɹ)ˈneɪ səʊvɪˈnjɒn
Cadillac	ˈkædɪlæk
Cahokia	kəˈhoʊki.ə
Calabrese	ˌkæləˈbɹeɪzeɪ
Caltech	ˈkælˌtɛk
Cambuslang	ˈkæmbəsˈlæŋ
Camorrista	ˌkaməˈɹɪstə
Canadianize	kə.ˈneɪ.djə.naɪz
Candian	ˈkændɪən
Cane Corso	ˌkɑːneɪ ˈkɔːsəʊ
Cannae	ˈkæniː
Caplan	ˈkæplən
Captain Planet	ˈkæptɪn ˈplanɪt
Carian	ˈkɛːɹɪən
Carmanville	ˈkɑɹ.mən.vɪl
Carolyn	ˈkɛɹəlɪn
Carrell	kəˈɹɛl
Casey	ˈkeɪsi
Cassandra	kəˈsɑːn.dɹə
Cassiopeia	ˌkæs.i.əˈpiː.ə
Catalina	ˌkætəˈliːnə
Cathy	ˈkæθi
Caturday	ˈkætədi
Cavendish	ˈkævəndɪʃ
Cebu	sɛˈbuː
Celtic	ˈsɛltɪk
Central Europe	ˈsɛntɹəl ˈjʊəɹəp
Ceresian	sɨˈɹiːzi.ən
Chad	tʃæd
Chan	tʃæn
Chang	tʃæŋ
Charis	ˈkeɪɹɪs
Charlene	ʃɑɹˈlin
Charlottean	ʃɑɹ.lə.ti.ən
Charonean	kærəˈniːən
Chaz	t͡ʃæz
Cheaster	ˈt͡ʃiːstə(ɹ)
Cheddar	ˈtʃɛdɚ
Chekiang	t͡ʃɛˈkjæŋ
Chelsea bun	ˈt͡ʃɛl.siː bʌn
Cheshunt	ˈt͡ʃɛzənt
Chi	ʃaɪ
Chichewa	t͡ʃɪˈt͡ʃɛwə
Chihuahua	tʃɪˈwɑːwɑː
Chili	ˈtʃaɪlaɪ
China	ˈt͡ʃaɪnə
Chinese	ˈt͡ʃaɪniːz
Chris	kɹɪs
Christian	ˈkɹɪstʃən
Christmas present	ˈkɹɪsməs ˌpɹɛzənt
Chucky	ˈtʃʌki
Cicero	ˈsɪsəɹəʊ
Circassian	səˈkæsi.ən
Clark	klɑː(ɹ)k
Claudius	ˈklɔdiəs
Coates	kəʊts
Cockburn	ˈkoʊkbərn
Cockrill	ˈkɒkɹɪl
Coele-Syrian	ˌsiːliˈsɪɹi.ən
Colac	ˈkəʊlæk
Coleman	ˈkoʊlmən
Colson	ˈkoʊlsən
Commonwealth	ˈkɒmənˌwelθ
Complute	ˈkɒmpluːt
Congregational	kɑŋɡɹəˈɡeɪʃənəl
Connell	ˈkɑnəl
Coq	koʊk
Corfe Mullen	ˌkɔəɹf ˈmʌlən
Corunna	kəˈɹʌnə
Cosmas	ˈkɔzmæs
Crashaw	ˈkɹæʃɔː
Crayford	kɹeɪfəd
Crete	kɹiːt
Croatology	kɹəʊætɒlədʒɪ
Crouchy	kɹaʊtʃi
Croydon facelift	ˌkɹɔɪdn̩ ˈfeɪslɪft
Cuman	ˈk(j)uːmən
Cutler	ˈkʌtlɚ
Cynthia	ˈsɪnθiə
Cyrenaica	saɪɹəˈneɪ.ɪkə
Czechoslovakia	ˌtʃɛk.oʊ.sloʊ.ˈvɑk.i.ə
DEFCON	ˈdɛfkɒn
DILF	dɪlf
DMZ	ˈdiːˌɛmˌzē
DUFF	dʌf
Dacre	deɪkə
Dada	ˈdɑːdɑː
Dagestan	ˌdæɡɪˈstæn
Dai Di	ˈtaɪ tiː
Daisy Dukes	deɪ.zi ˈduːks
Dalhousie	dælˈhaʊzi
Dalmatian	dælˈmeɪ.ʃən
Daman and Diu	dəˈmɑːn ən ˈdiːuː
Danae	ˈdæn.eɪ.i
Dannie	ˈdæn.i
Darcy	ˈdɑːsi
Daria	ˈdæɹɪə
Darling	ˈdɑːlɪŋ
Darren	ˈdæɹən
Davidson	ˈdeɪvɪdsən
Dawkins	ˈdɔːkɪnz
Daydreamer	ˈdeɪdɹiːmə
Dayson	ˈdeɪsən
Deal	ˈdiːl
Deason	ˈdiːsən
Deepak	ˈdiːpʌk
Delft	ˈdɛlft
Democratic Republic of the Congo	ˌdɛməˈkɹætɪk ɹɪˈpʌblɪk əv ðə ˈkɒŋɡəʊ
Denali	dɨˈnɑːli
Deneisha	dɪˈniːʃə
Dennis	ˈdɛnɪs
Denzel	ˈdɛnzɛl
Dervish	ˈdɜː(ɹ)vɪʃ
Deschutes County	dəˈʃuːts ˈkaʊnti
Deshler	ˈdɛʃ.ləɹ
Devin	ˈdɛvɪn
Dhaka	ˈdækə
Dicky	ˈdɪki
Dieri	ˈdɪəriː
Diggins	ˈdɪɡɪnz
Dina	ˈdiːnə
Diogenes	daɪˈɒdʒəniːz
Dionysius	daɪəˈnɪsɪəs
Disneyland	ˈdɪzniːˌlænd
Dixey	ˈdɪksi
Dobra	ˈdəʊbɹə
Dodger	ˈdɑdʒə(ɹ)
Dolan	ˈdoʊlən
Dominican	də.ˈmɪn.ɪ.kən
Donna	ˈdɒnə
Dothan	ˈdoʊθən
Doubs	duː
Doyle	dɔɪl
Dracula	ˈdɹækjələ
Dreamtime	ˈdɹiːmtaɪm
Dubya	ˈdʌb.jə
Dudley	ˈdʌdli
Dulwich	dʌlɪt͡ʃ
Durbin	ˈdɜː(ɹ)bɪn
Dún Laoghaire	dʌn ˈlɪɹə
EULA	iːjuːɛl.eɪ
East	iːst
Easter egg	ˈiː.stəɹ ˌɛɡ
Eddie	ˈɛdi
Edmonton	ˈɛdməntən
Efren	ˈɛf ɹɛn
El Niño	ɛl ˈniːn.joʊ
Elbląg	ˈɛlblɔŋk
Elkins	ˈɛlkɪnz
Elohim	ɛˈloʊ̯ˌhɨm
Elton	ˈɛltən
Elysium	ɪˈli.zi.əm
Ember day	ˈɛmbə ˌdeɪ
Enderby	ˈɛndɚbi
Englishry	ˈɪŋ(ɡ)lɪʃɹi
Entz	ɛnt͡s
Enzo	ˈɛnzoʊ
Eogene	ˈiəˌdʒin
Epcot	ˈɛpkɒt
Epicurean	ˌɛpɪkjʊəˈɹiːən
Epsom	ɛpsəm
Erewash	ˈɛɹəwɒʃ
Erinys	ɪˈɹɪnɪs
Ernest	ˈɜː(ɹ)nɪst
Escanaba	ˌɛskəˈnɑːbə
Esmé	ˈɛzmeɪ
Essex	ˈɛs.ɪks
Euboean	juːˈbiːən
Eunice	ˈjunɪs
Europa	jʊˈɹoʊpə
Euryale	jʊˈɹaɪ.əli
Euterpe	juˈtɝpi
Excalibur	ɛksˈkæ.lɪ.bɚ
Excel	ɪkˈsɛl
Exeter	ˈɛksɪtɚ
Eötvös	ˈøtvøʃs
FNaF	f(ə)næf
Fabian	ˈfeɪbi.ən
Faliscan	fəˈlɪskən
Faneuil	ˈfænjəl
Farnworth	ˈfɑː(ɹ)nwə(ɹ)θ
Feltham	ˈfɛltəm
Fengxian	fɛŋʃiən
Ferdinand	ˈfɝdn̩.ænd
Fibonacci	fiːbə(ʊ)ˈnɑːtʃi
Fido	ˈfaɪ.dəʊ
Fielding	fiːldɪŋ
Finchley	fɪnt͡ʃli
Finnmark	fɪn.mɑːk
Fisk	fɪsk
Fitzgerald	fɪtsˈdʒɛɹəld
Flaubertian	fləʊˈbɜːtɪən
Flemish coil	ˌflɛmɪʃ ˈkɔɪl
Fletcher	ˈflɛtʃɚ
Florence	ˈflɒɹəns
Fort McMurray	ˈfɔɹt mɪkˈmʌɹi
Foulridge	ˈfoʊlɹɪdʒ
Fourth	fɔɹθ
Frankfurt am Main	ˈfɹæŋkfɜː(ɹ)t æm ˈmaɪn
Freddy	ˈfɹɛdi
Frenchify	ˈfɹɛntʃɪfaɪ
Friesian	ˈfɹiːʒən
Fuegian	ˈfweɪdʒɪ.ən
Fujian	ˌfuːd͡ʒiˈæn
G	dʒiː
GIF	dʒɪf
GOBLin	ˈɡɒb.lɪn
Gaby	ˈɡæbi
Gagauz	ˌɡæɡɑːˈuːz
Garrick	ˈɡæɹɪk
Gaylord	ˈɡeɪˌlɔɹd
Gene	ˈdʒiːn
Gentile	ˈd͡ʒɛntaɪl
Georgetown	ˈd͡ʒɔː(ɹ)d͡ʒtaʊn
Gerard	ˈd͡ʒɛɹɑːd
German	ˈd͡ʒɜː.mən
Germinal	ˈdʒɜːmɪnəl
Gershon	ˈɡɝʃɑn
Gia Lai	ˈjɑːlaɪ
Gibraltarian	dʒɪ.bɹɔːlˈtɛəɹ.i.ən
Gilgamesh	ˈɡɪl.ɡə.mɛʃ
Gillibrand	ˈdʒɪlɪbɹænd
Gimel	ʒiˈmɛl
Gina	ˈdʒiːnə
Giovanni	dʒiː.əˈvɑni
Girona	dʒɪˈɹoʊnə
Gladys	ˈɡlædɪs
Gleason	ˈɡlisən
Glenna	ˈɡlɛnə
Gnostic	ˈnɒstɪk
God	ɡɔːd
Godspeed	ɡɒdˈspiːd
Golconda	ɡɒlˈkɒndə
Goldilocks	ˈɡəʊldilɒks
Goodman	ˈɡʊdmən
Gorey	ˈɡɔːɹi
Gothenburg	ˈɡɒθn̩bɜːɡ
Gowro	ˈɡaʊɹoʊ
Grady	ˈɡɹeɪdi
Graton	ˈɡɹeɪtən
Grecogenous	ɡɹɛˈkɒdʒɪnəs
Greeklish	ˈɡɹiːklɪʃ
Greenfield	ˈɡɹinfild
Greenock	ˈɡɹiːnək
Grenada	ɡɹəˈneɪdə
Gribble	ˈɡɹɪbəl
Guadeloupe	ɡwɑːdə.ˈluːp
Guildford	ˈɡɪlfəd
Guiseley	ˈɡaɪzli
Gulbenkian	ɡʊlˈbɛŋkiən
Gullane	ˈɡʌlən
Gutenberg	ˈɡutn̩ˌbɝɡ
Gweniver	ˈɡwɛ.nɪ.və
Gypsy	ˈd͡ʒɪp.si
Gǃòʼé ǃHú	ˌɡoʊ.eɪˈhuː
HEMA	hɛ mə
HR	heɪtʃ ɔɹ
Hadrian&#039;s Wall	ˈheɪdɹiənz ˈwɔːl
Haftarah	həfˈtɔː.ɹə
Haida	ˈhaɪdə
Hainault	-oɫt
Haitian	ˈheɪ.ʃən
Hal	hæl
Haleb	hɑːˈleb
Halsey	ˈhɔːlsi
Hammersmith	hæməsmɪθ
Handforth	ˈhændfə(ɹ)θ
Hanover	ˈhænəvə
Hanworth	hænwɜːθ
Harajuku	ˌhɑɹəˈdʒuːku
Harper	ˈhɑɹpɚ
Hartlepool	ˈhɑːtlɪpuːl
Haryana	hɑːɹɪˈjɑːnə
Hattemer	ˈhæ.təˌməɹ
Hector	ˈhɛktə
Heimdall	ˈheɪm.dɑl
Helladic	həˈlædɪk
Henan	həˈnæn
Heracles	ˈhɛɹəkliːz
Hessian	ˈhɛsɪɛn
Hettinger	ˈhɛtɪŋɡəɹ
Hildebrand	ˈhɪldəbɹænd
Hillman	ˈhɪlmən
Hippocrene	ˈhɪpəkɹiːn
Hitler mustache	hɪt.lə(ɹ).mʌs.tæʃ
Hokitika	həʊkɪtɪkə
Holyhead	ˈhɒlihɛd
Honiara	ˌhəʊnɪˈɑːɹə
Hoover	ˈhuːvə(ɹ)
Hornby	hɔːnbiː
Horsey	ˈhɔː(ɹ)si
Hoà Bình	ˈhwɑːbɪn
Hugh	hjuː
Hummer	ˈhʌmɚ
Hunt	hʌnt
Hutchinson	ˈhʌt͡ʃɪnsən
Häagen-Dazs	ˈhɑː.ɡənˌdɑːz
Høgnorsk	ˈhɔɪnɔːsk
I have a cold	aɪ hæv ə koʊld
IATSE	aɪ eɪ ti ɛs i
IBM	ˈˌʌɪbiːˈɛm
ICANN	ˈaɪ.kæn
IELTS	ˈaɪ̯ɛlts
IGZO	aɪ.dʒiː.zɛd.ˈəʊ
IPA	</span><a href="/w/index.php?title=IPA&amp;action=edit&amp;section=1" title="Edit section: English">edit</a><span class="mw-editsection-bracket">
ISAF	ˈaisæf
Ichabod	ˈɪkəbɒd
Igbo	ˈiːbəʊ
Iliad	ˈɪli.əd
Illinois	ˌɪləˈnɔɪz
Illyromania	ɪˌlɪɹoʊˈmeɪniə
Imhotep	ɪmˈhoʊ.tɛp
Ince	ˈɪns
Inuit	ˈɪnʊɪt
Io	ˈaɪoʊ
Iqalungmiut	ɪkaˈlʊŋmiːʊt
Iroquois	ˈɪɹəkɔɪ
Irvin	ˈɝvɪn
Isiac	ˈaɪsɪak
Islamism	ˈɪzləmɪz(ə)m
Isles of Scilly	ˈaɪlz əv ˈsɪli
Istanbul	ɪstænˈbʊl
Ivan	ˈivɑːn
JAXA	ˈdʒæk.sə
JPEG	ˈdʒeɪ.pɛɡ
Jabez	ˈdʒeɪ.bɛz
Jacobs	ˈd͡ʒeɪkəbz
Jagara	ˈjaɡərə
Jalur Gemilang	ˈd͡ʒɑːlʊər ɡəˈmiːlʌŋ
Janice	ˈdʒænɪs
Januarys	ˈdʒænjuˌɛɹiz
Java	ˈdʒɑːvə
Jehovist	dʒəˈhoʊvɨst
Jell-O	ˈdʒɛloʊ
Jenglish	ˈdʒɪŋɡlɪʃ
Jericho	ˈd͡ʒɛɹɪkəʊ
Jesuitic	ˌdʒɛzjuˈɪtɪk
Jezero	ˈjɛzəɹoʊ
Jing&#039;an	dʒɪŋɑn
Jinhua	d͡ʒɪnˈhwɑː
Joaquin	hwɑˈkiːn
John Hancock	dʒɒn ˈhænkɒk
Jose	hoʊˈzeɪ
Judaist	ˈdʒuːˌdeɪ.ɪst
Judge	d͡ʒʌd͡ʒ
July	d͡ʒuˈlaɪ
Jussie	ˈdʒʌsi
Jutlander	ˈd͡ʒʌtlændəɹ
Jönköping	ˈjɜːn(t)ʃɜːpɪŋ
K-Stew	ˈkeɪˌst(j)uː
Kafkatrapping	ˈkæfkəˌtræpɪŋ
Kaifeng	kaɪˈfʌŋ
Kasserine	ˈkæˌsəɹɪn
Katie	ˈkeɪti
Kauai	kə.ˈwaɪ.iː
Keble	ˈkiːbəl
Keeshond	ˈkeɪ̯zn̩d
Kent	kɛnt
Kerry	ˈkɛɹi
Kevorkian	kɛˈvɔɹkiːɛn
Keyham	kiːəm
Kez	ˈkɛz
Khayyamian	kaɪˈ(j)æmi.ən
Khomeini	kəʊˈmeɪni
Kilkenny	kɪlˈkɛni
King	kiŋ
Kinross	kɪnˈɹɒs
Kirsten	ˈkɜːstən
Kitinen	ˈkɪtɪnɛn
Kiên Giang	ˈkjɛnjæŋ
Knaggs	næɡz
Knidos	ˈ(k)naɪdɒs
Kolyma	kəlɨˈma
Koori	ˈkʊri
Kurukh	ˈkʊrʊx
Kwentoh	ˈkwɛn.toʊ̯
Kylie	ˈkaɪli
Kyrgyzstan	-stæn
L&#039;Anse-au-Loup	ˌlæns oʊ ˈlup
LJBF	ˈlɪd͡ʒ.bɪf
LZW	ɛl&#32;zɛd&#32;ˈdʌb.əl.juː
La Cognata	la.koˈnjɒ.ta
Lach	læʃ
Lamborghini	ˈlæm.bə(ɹ).ɡi.ni
Lampedusa	ˌlæmpɪˈduːzə
Lanai	ləˈnaɪ
Landon	ˈlændən
Laotian	leɪˈoʊʃən
Larissa	ləˈɹɪsə
Latin@	læˈtineɪ
Latium	ˈleɪ.ʃi.əm
Lawn Guyland	ˌlɔŋ ˈɡaɪlənd
Lebenswelt	ˈleːbənzvɛlt
Leh	leɪ
Leipsic	ˈlaɪp.sɪk
Lenape	ləˈnɑːpi
Leningrad	ˈlɛnɪnˌɡræd
Lent	lɛnt
Leon	ˈli.ɑn
Lethe	ˈliːθi
Levantine	ˈlɛvəntaɪn
Levenmouth	ˈlɛvənməθ
Lex	lɛks
Libyan	ˈlɪbi.ən
Liechtenstein	<ul><li>Rhymes: <a href="/wiki/Rhymes:English/a%C9%AAn" title="Rhymes:English/aɪn"><span class="IPA">-aɪn</span></a></li>
Lilian	ˈlɪli.ən
Lincoln	ˈlɪŋkən
Link	lɪŋk
Lisa	ˈlaɪzə
Livonia	lɪˈvoʊniə
Llynfi	ˈɬɪnvi
Lojban	ˈloʊʒbɑːn
London-centric	lʌndənˈsɛntɹɪk
Lorenz	ləˈɹɛnz
Los Altos	lɒs ˈæltoʊs
Lostock	ˈlɒstɒk
Louie	ˈluː.i
Lowe	loʊ
Lucia	ˈluː.ʃə
Lusatia	luˈseɪʃə
Luvian	ˈluːviən
Lâm Đồng	ˈləmdɒŋ
MGTOW	mɪɡtaʊ
MIDI	ˈmɪdi
MRAP	ɛm.ɹæp
Mac Arthur	məˈkɑː(ɹ)θə(ɹ)
MacCabe	məˈkeɪb
MacNair	məkˈnɛə(ɹ)
Macarena	ˌmækəˈɹaɪnə
Macedonian	mæsəˈdəʊnɪən
Mahayana	ˌmʌhəˈjɑːnə
Maimonides	maɪˈmɑnədiz
Mainzer	ˈmaɪn.tsə
Majesty	ˈmædʒ.ɪ.sti
Majuro	məˈdʒʊɹoʊ
Malachi	ˈmæləkaɪ
Mallarméan	ˌmalɑːˈmeɪən
Malone	məˈloʊn
Manapouri	manɑːpɔːɹiː
Mandinka	manˈdɪŋkə
Mangalica	mɑŋɡəˈliːtsə
Manipur	ˌmənɪpʊɹ
Mankiw	ˈmæn.kjuː
Manson	ˈmænsən
Mantineia	ˌmæntəˈniːə
Marble Arch	mɑːbəl ˈɑːt͡ʃ
Martina	mɑɹˈtinə
Maryhill	ˈmaɹɪhɪl
Massey	ˈmæsi
Mauna Loa	ˌmɔnə ˈloʊə
Mauritania	ˌmɒɹɪˈteɪni.ə
Mc-	mæk
McGough	məˈɡɒf
McLaughlin	məˈɡlɑklɪn
Megxit	ˈmɛɡzɪt
Mellie	ˈmɛli
Melpomene	mɛlˈpɒ.mɪ.ni
Mephistopheles	ˌmɛ.fɪˈstɒ.fɪ.liːz
Mercator	mɜː.ˈkeɪ.tə
Mersey	ˈmɜː-
Mervyn	ˈmɜː.vɪn
Messia	ˈmesɪə
MexiCoke	ˈmɛksɪkəʊk
Michael	ˈmaɪkəl
Middlesex	ˈmɪdl̩.sɛks
Minnie	ˈmɪni
Mississauga	ˌmɪ.sɪˈsɔː.ɡə
Mitcham	mɪt͡ʃəm
Mithrasmas	ˈmɪθɹəsməs
Mitsubishi	ˌmɪt.sʊˈbɪ.ʃi
Mixolydian	mɪksəˈlɪdɪən
Mizzou	məˈzu
Moe	məʊ
Mogollon	ˌmoʊɡəˈjoʊn
Mohism	ˈməʊɪzəm
Molotov cocktail	ˈmɒ.lə.ˌtɒf.ˈkɒk.teɪl
Monet	moʊneɪ
Monothelete	mɒˈnɒθɪliːt
Montagu	ˈmɒntəɡjuː
Montenegro	mɒn.tɪˈneɪ.ɡɹəʊ
Montreux	mɒ̃ˈtɹɜː
Morse	ˈmɔː(ɹ)s
Moses	ˈməʊzɪz
Moulmein	moʊlˈmeɪn
Mozambique	ˌmoʊ.zæmˈbiːk
Mueller	ˈmjuːlɚ
Muharram	muːˈhaɹəm
Mukherjee	ˈmʊkɚˌd͡ʒiː
Mulcahy	mʌlˈkæhiː
Murphy	ˈmɝfi
Muscovite	ˈmʌs.kəˌvaɪt
Muzaked	ˈmjuːzækt
Möbius strip	ˈməʊ.biː.əs stɹɪp
N&#039;Djamena	əndʒɑːˈmeɪnɑː
Nadsat	ˈnɑːdsət
Nastaliq	ˈnæstəliːk
Navarre	nəˈvɑː(ɹ)
Neapolitan	ˌniːəˈpɒlɪtən
Nebbiolo	ˌnɛbɪˈəʊləʊ
Necronomicon	ˌnɛkɹəˈnɒmɪkɒn
Neepawa	ˈniːpəwə
Neff	nɛf
Nell	nɛl
Nemesis	ˈnɛməsɪs
Neoplatonist	niːə(ʊ)ˈpleɪtənɪst
Nepalese	nɛ.pəˈliːz
Nestor	ˈnɛstəɹ
New Orleans	nuː ˈɔɹlənz
Newbury	njubəɹi
Newfoundland	ˈnjuː.fənd.lænd
Ngarrindjeri	ŋəˈrɪndʒəriː
Nice	niːs
Nicholas	ˈnɪk.ləs
Nigerian	naɪˌdʒɪɹiən
Niihau	ˈniːiːˌhaʊ
Nila	nilə
Nintendo	nɪnˈtɛndəʊ
Noone	nuːn
Norcal	ˈnɔːɹ.kæl
Norfolk Island	ˈnɔː.fək ˈaɪ.lənd
Norman	ˈnɔɹmən
Norris	ˈnɔɹɪs
North Kensington	nɔːθ kɛnzɪŋtən
Northern Ireland	ˈnɔː(ɹ)ðə(ɹ)n ˈaiə(ɹ)lənd
Norwood Green	nɔːwʊd ɡɹiːn
Nottinghamshire	ˈnɒt.ɪŋ.əm.ʃə(ɹ)
Novatianism	nəʊˈveɪʃəˌnɪzəm
Ntigram	ˈɛntɪɡɹæm
Nutbush	ˈnʌtbʊʃ
Nuu-chah-nulth	nuːˈtʃɑːnʊlθ
Nyunga	ˈnjuːŋɡə
O&#039;Neill	oʊˈnil
O&#039;Shea	oʊˈʃeɪ
OOV	uːv
OUCA	ˈaʊkə
Oates	əʊts
Obama	oʊˈbɑ.mə
Odin	əʊdɪn
Ogham	ˈoʊ.əm
Oise	wɑːz
Okazaki	ˌɒkəˈzɑːkɪ
Oldham	ɒldəm
Olympian	əˈlɪm.pɪ.ən
Oman	əˈmɑːn
Oporto	əˈpɔː(ɹ)təʊ
Orange	ˈɒ.ɹɪndʒ
Orpheus	ˈɔɹfjuːs
Orson	ˈɔɹsən
Ottoman	ˈɑtəmən
Ouija	ˈwiːdʒi
Overman	ˈoʊvɚmən
Oxford	ˈɒksfəd
PB&amp;J	ˌpiːˌbiː.ənˈd͡ʒeɪ
PRNDL	ˈpɹɪndl̩
Pactolus	pækˈtəʊləs
Paestum	ˈpɛs.təm
Pahari	pəˈhɑːɹi
Pama-Nyungan	ˌpamə-ˈnjʊŋən
Pamplona	pæmˈploʊnə
Panama	ˈpæn.ə.mɑː
Papiamentu	ˌpɑːpiəˈmɛntuː
Paraclete	ˈpæɹəkliːt
Paralympiad	-əd
