-ійський	 ˈii̯sʲkei̯
Чехословаччина	t͡ʃexɔsɫɔˈʋat͡ʃːenɐ
Шрі-Ланка	ʃrʲi ɫɐnˈka
Юлія	ˈjulʲijɐ
абака	ɐˈbakɐ
абеткування	ɐbetkʊˈʋanʲːɐ
аблактування	ɐbɫɐktʊˈʋanʲːɐ
абонентка	ɐbɔˈnɛntkɐ
абразивність	ɐbrɐˈzɪu̯nʲisʲtʲ
абрикосник	ɐbreˈkɔsnek
абсолютизація	ɐbsɔlʲʊteˈzat͡sʲijɐ
абсорбер	ɐbˈsɔrber
абстрактність	ɐbˈstraktʲnʲisʲtʲ
абсурдність	ɐbˈsurdʲnʲisʲtʲ
абшит	ɐbˈʃɪt
абітурієнт	ɐbʲitʊrʲiˈjɛnt
аванзал	ɐʋɐnˈzaɫ
авансування	ɐʋɐnsʊˈʋanʲːɐ
авантюристка	ɐʋɐnʲtʲʊˈrɪstkɐ
аварка	ɐˈʋarkɐ
авлос	ɐu̯ˈɫɔs
австралопітек	ɐu̯strɐɫɔpʲiˈtɛk
австрійський	ɐu̯ˈstʲrʲii̯sʲkei̯
автоаерозапчастина	ɐu̯tɔɐerɔzɐpt͡ʃɐˈstɪnɐ
автобальзам	ɐu̯tɔbɐlʲˈzam
автобусик	ɐu̯ˈtɔbʊsek
автовиробник	ɐu̯tɔʋerɔbˈnɪk
автогенник	ɐu̯tɔˈɦɛnːek
автоматично	ɐu̯tɔmɐˈtɪt͡ʃnɔ
авторитарний	ɐu̯tɔreˈtarnei̯
авіавдар	ɐʋʲiɐu̯ˈdar
авіадиспетчер	ɐʋʲiɐdeˈspɛt͡ʃːer
авіаквиток	ɐʋʲiɐkʋeˈtɔk
авіамайстерня	ɐʋʲiɐmɐi̯ˈstɛrnʲɐ
авіамоторобудування	ɐʋʲiɐmɔtɔrɔbʊdʊˈʋanʲːɐ
авіапатрулювання	ɐʋʲiɐpɐtrʊlʲʊˈʋanʲːɐ
авіаракетобудування	ɐʋʲiɐrɐketɔbʊdʊˈʋanʲːɐ
авіатехнік	ɐʋʲiɐˈtɛxnʲik
авіафауна	ɐʋʲiɐˈfaʊnɐ
авізо	ɐˈʋʲizɔ
агенція	ɐˈɦɛnʲt͡sʲijɐ
ад&#039;ютант	ɐdjʊˈtant
аджика	ɐˈd͡ʒɪkɐ
аероскопія	ɐerɔskoˈpʲijɐ
академічний	ɐkɐdeˈmʲit͡ʃnei̯
активація	ɐkteˈʋat͡sʲijɐ
акціонер	ɐkt͡sʲiɔˈnɛr
албанка	ɐɫˈbankɐ
алло	ɐˈɫːɔ
амбітний	ɐmˈbʲitnei̯
анамнії	ɐˈnamnʲiji
англійська	ɐnˈɦlʲii̯sʲkɐ
ансамбль	ɐnˈsamblʲ
антиномічний	ɐntenoˈmʲit͡ʃnei̯
антонім	ɐnˈtɔnʲim
апелювати	ɐpelʲʊˈʋate
арахнологія	ɐrɐxnɔˈɫɔɦʲijɐ
арифметичний	ɐrefmeˈtɪt͡ʃnei̯
арсен	ɐrˈsɛn
архонт	ɐrˈxɔnt
архівний	ɐrˈxʲiu̯nei̯
аскетично	ɐskeˈtɪt͡ʃnɔ
атеїзм	ɐteˈjizm
аутсайдер	ɐʊˈt͡sai̯der
африканка	ɐfreˈkankɐ
б	b
бабка	ˈbabkɐ
багатолюдний	bɐɦɐtoˈlʲudnei̯
багнистий	bɐɦˈnɪstei̯
байдужий	bɐi̯ˈduʒei̯
балістичний	bɐlʲiˈstɪt͡ʃnei̯
банківський	ˈbanʲkʲiu̯sʲkei̯
барвистий	bɐrˈʋɪstei̯
батальйон	bɐtɐˈlʲjɔn
бачити	ˈbat͡ʃete
безвихідь	bezˈʋɪxʲidʲ
бездіяльний	bezʲdʲiˈjalʲnei̯
беззахисний	beˈzːaxesnei̯
безкраїй	bezˈkrajii̯
безнадійно	beznɐˈdʲii̯nɔ
безплідний	bezˈplʲidnei̯
безприкладний	bezˈprɪkɫɐdnei̯
безсторонність	bezstɔˈrɔnʲːisʲtʲ
безшлюбність	beʒʃˈlʲubnʲisʲtʲ
безіменний	bezʲiˈmɛnːei̯
бензиновий	benˈzɪnɔʋei̯
березневий	berezˈnɛʋei̯
бетонний	beˈtɔnːei̯
битися	ˈbɪtesʲɐ
благородний	bɫɐɦɔˈrɔdnei̯
близькість	ˈbɫɪzʲkʲisʲtʲ
блоха	bɫɔˈxa
богатир	bɔɦɐˈtɪr
богохульство	bɔɦoˈxulʲstwɔ
боліти	boˈlʲite
бомбардувати	bɔmbɐrdʊˈʋate
борода	bɔrɔˈda
бос	bɔs
боягузка	bɔjɐˈɦuzkɐ
брак	brak
братська могила	ˈbrat͡sʲkɐ mɔˈɦɪɫɐ
британський	breˈtanʲsʲkei̯
бронхіт	bronʲˈxʲit
бувати	bʊˈʋate
буддійський	bʊˈdʲːii̯sʲkei̯
будьмо	ˈbudʲmɔ
бульба	ˈbulʲbɐ
бурулька	bʊˈrulʲkɐ
бюрократія	bʲʊrɔˈkratʲijɐ
біженський	ˈbʲiʒenʲsʲkei̯
білок	bʲiˈɫɔk
біль	bʲilʲ
біографія	bʲiɔˈɦrafʲijɐ
біржа	ˈbʲirʒɐ
в&#039;язень	ˈʋjazenʲ
вада	ˈʋadɐ
вакцинація	ʋɐkt͡seˈnat͡sʲijɐ
ванна кімната	ˈʋanːɐ kʲimˈnatɐ
варити	ʋɐˈrɪte
ватрушка	ʋɐˈtruʃkɐ
введення	ˈʋːɛdenʲːɐ
вдосвіта	ˈwdɔsʲʋʲitɐ
ведучий	ʋeˈdut͡ʃei̯
великомученик	ʋeɫekoˈmut͡ʃenek
верем&#039;я	ʋeˈrɛmjɐ
вертикальний	ʋerteˈkalʲnei̯
вершина	ʋerˈʃɪnɐ
вестернізація	ʋesternʲiˈzat͡sʲijɐ
вже	wʒɛ
взагалі	wzɐɦɐˈlʲi
взаємовплив	wzɐjemɔu̯ˈpɫɪu̯
вибачити	ˈʋɪbɐt͡ʃete
вибрати	ˈʋɪbrɐte
вивчати	ʋeu̯ˈt͡ʃate
виграш	ˈʋɪɦrɐʃ
видача	ˈʋɪdɐt͡ʃɐ
вижити	ˈʋɪʒete
визнати	ˈʋɪznɐte
викладач	ʋekɫɐˈdat͡ʃ
виконати	ˈʋɪkɔnɐte
виліковувати	ʋelʲiˈkɔwʊʋɐte
вимирати	ʋemeˈrate
винайти	ˈʋɪnɐi̯te
винник	ˈʋɪnːek
винятковий	ʋenʲɐtˈkɔʋei̯
виправити	ˈʋɪprɐʋete
виробити	ˈʋɪrɔbete
вирушити	ˈʋɪrʊʃete
вирішення	ˈʋɪrʲiʃenʲːɐ
висловлюватися	ʋesˈɫɔu̯lʲʊʋɐtesʲɐ
високопосадовець	ʋesɔkɔpɔsɐˈdɔʋet͡sʲ
вистачити	ˈʋɪstɐt͡ʃete
витлумачити	ˈʋɪtɫʊmɐt͡ʃete
вихід	ˈʋɪxʲid
вичерпувати	ʋeˈt͡ʃɛrpʊʋɐte
виявляти	ʋejɐu̯ˈlʲate
владний	ˈwɫadnei̯
влаштовувати	wɫɐʃˈtɔwʊʋɐte
внесок	ˈwnɛsɔk
водоспад	wɔdɔˈspad
водій	woˈdʲii̯
волонтерка	wɔɫɔnˈtɛrkɐ
воно	wɔˈnɔ
восени	wɔseˈnɪ
воєнний	wɔˈjɛnːei̯
впевненість	ˈʍpɛu̯nenʲisʲtʲ
враження	ˈwraʒenʲːɐ
врятовувати	wrʲɐˈtɔwʊʋɐte
всесвітній	ʍsesʲˈʋʲitʲnʲii̯
втрачати	ʍtrɐˈt͡ʃate
втікач	ʍtʲiˈkat͡ʃ
вугол	ˈwuɦɔɫ
вулкан	wʊɫˈkan
вчитель	ˈʍt͡ʃɪtelʲ
вівтарний	ˈʋʲiu̯tɐrnei̯
відбуватися	ʋʲidbʊˈʋatesʲɐ
відвойовувати	ʋʲidwɔˈjɔwʊʋɐte
віддаль	ˈʋʲidːɐlʲ
відказати	ʋʲidkɐˈzate
відлічити	ʋʲidʲlʲiˈt͡ʃɪte
відмежувати	ʋʲidmeʒʊˈʋate
відношення	ʋʲidˈnɔʃenʲːɐ
відповідність	ʋʲidpɔˈʋʲidʲnʲisʲtʲ
відпустка	ʋʲidˈpustkɐ
відсутній	ʋʲid͡zˈsutʲnʲii̯
відсіч	ˈʋʲid͡zʲsʲit͡ʃ
відчинити	ʋʲid͡ʒt͡ʃeˈnɪte
віза	ˈʋʲizɐ
війна	ʋʲii̯ˈna
вільний час	ˈʋʲilʲnei̯ ˈt͡ʃas
вірити	ˈʋʲirete
вірш	ʋʲirʃ
віспа	ˈʋʲispɐ
вісімдесят три	ʋʲisʲimdeˈsʲat trɪ
вітрило	ʋʲiˈtrɪɫɔ
віяти	ˈʋʲijɐte
гадати	ɦɐˈdate
гай	ɦai̯
гаманець	ɦɐmɐˈnɛt͡sʲ
гарантувати	ɦɐrɐntʊˈʋate
гасло	ˈɦasɫɔ
гвинтівка	ɦʋenʲˈtʲiu̯kɐ
генетичний код	ɦeneˈtɪt͡ʃnei̯ kɔd
герой	ɦeˈrɔi̯
глибинний	ɦɫeˈbɪnːei̯
глухар	ɦɫʊˈxar
глід	ɦlʲid
гній	ɦnʲii̯
говорити	ɦɔwɔˈrɪte
голка	ˈɦɔɫkɐ
голод	ˈɦɔɫɔd
голубий	ɦɔɫʊˈbɪi̯
гонор	ˈɦɔnɔr
гордитися	ɦɔrˈdɪtesʲɐ
горностай	ɦɔrnɔˈstai̯
господарство	ɦɔspɔˈdarstwɔ
гостювати	ɦɔsʲtʲʊˈʋate
грабіжник	ɦrɐˈbʲiʒnek
граматика	ɦrɐˈmatekɐ
грати	ˈɦrate
грець	ɦrɛt͡sʲ
григоріанський календар	ɦreɦɔrʲiˈanʲsʲkei̯ kɐɫenˈdar
громадсько-політичний	ɦrɔˈmad͡zʲsʲkɔ pɔlʲiˈtɪt͡ʃnei̯
груба	ˈɦrubɐ
група	ˈɦrupɐ
грім	ɦrʲim
гуманізм	ɦʊmɐˈnʲizm
гусятко	ɦʊˈsʲatkɔ
гівноїд	ɦʲiu̯nɔˈjid
гідрологічний	ɦʲidrɔɫoˈɦʲit͡ʃnei̯
гіперінфляція	ɦʲiperʲinˈflʲat͡sʲijɐ
гість	ɦʲisʲtʲ
дамба	ˈdambɐ
дарувати	dɐrʊˈʋate
двадцять другий	ˈdʋad͡zʲt͡sʲɐtʲ ˈdruɦei̯
дванадцять	dʋɐˈnad͡zʲt͡sʲɐtʲ
двоголовий	dwɔɦɔˈɫɔʋei̯
двір	dʲʋʲir
де	dɛ
дев&#039;яносто	deʋjɐˈnɔstɔ
дев&#039;яносто три	deʋjɐˈnɔstɔ trɪ
дев&#039;ять	ˈdɛʋjɐtʲ
декларувати	dekɫɐrʊˈʋate
делірій	deˈlʲirʲii̯
демократ	demɔˈkrat
демонструвати	demɔnstrʊˈʋate
дерево	ˈdɛrewɔ
десерт	deˈsɛrt
деталь	deˈtalʲ
деякий	ˈdɛjɐkei̯
дзвіниця	d͡zʲʋʲiˈnɪt͡sʲɐ
дзиґар	d͡zeˈɡar
диверсія	deˈʋɛrsʲijɐ
дизайн	deˈzai̯n
дикунський	deˈkunʲsʲkei̯
дипломат	depɫɔˈmat
дискредитувати	deskredetʊˈʋate
диспетчер	deˈspɛt͡ʃːer
дитячий	deˈtʲat͡ʃei̯
добрий ранок	ˈdɔbrei̯ ˈranɔk
добросусідський	dɔbrɔsʊˈsʲid͡zʲsʲkei̯
довгоніг	dɔu̯ɦoˈnʲiɦ
довкілля	dɔu̯ˈkʲilʲːɐ
довірити	dɔˈʋʲirete
додати	dɔˈdate
дозволяти	dɔzwɔˈlʲate
долар	ˈdɔɫɐr
домен	dɔˈmɛn
допустимість	dɔpʊˈstɪmʲisʲtʲ
допізна	doˈpʲiznɐ
дорого	ˈdɔrɔɦɔ
досліджувати	dosʲˈlʲid͡ʒʊʋɐte
достовірний	dɔstɔˈʋʲirnei̯
досі	ˈdɔsʲi
доторкатися	dɔtɔrˈkatesʲɐ
дощ	dɔʃt͡ʃ
доїжджати	dɔjiʒˈd͡ʒate
другий	ˈdruɦei̯
дріт	dʲrʲit
дупа	ˈdupɐ
дурний	dʊrˈnɪi̯
дядько	ˈdʲadʲkɔ
діаметрально	dʲiɐmeˈtralʲnɔ
дід	dʲid
дійти	dʲii̯ˈtɪ
дірка	ˈdʲirkɐ
діуретичний	dʲiʊreˈtɪt͡ʃnei̯
дієта	dʲiˈjɛtɐ
еволюціонувати	ewɔlʲʊt͡sʲiɔnʊˈʋate
екваторіальний	ekʋɐtɔrʲiˈalʲnei̯
ексгібіціонізм	eɡzʲɦʲibʲit͡sʲioˈnʲizm
експеримент	ekspereˈmɛnt
експортувати	ekspɔrtʊˈʋate
електричний	eɫekˈtrɪt͡ʃnei̯
елефант	eɫeˈfant
еліпс	ˈɛlʲips
ембріональний	embrʲiɔˈnalʲnei̯
ендокринологія	endɔkrenɔˈɫɔɦʲijɐ
енциклопедія	ent͡sekɫɔˈpɛdʲijɐ
епізодичний	epʲizɔˈdɪt͡ʃnei̯
еротика	eˈrɔtekɐ
етап	eˈtap
етноґрафічний	etnɔɡrɐˈfʲit͡ʃnei̯
ж	ʒ
жалоба	ʒɐˈɫɔbɐ
жати	ˈʒate
жертва	ˈʒɛrtʋɐ
житіє	ʒetʲiˈjɛ
жовтень	ˈʒɔu̯tenʲ
жорсткий	ʒɔrstˈkɪi̯
журналіст	ʒʊrnɐˈlʲist
з&#039;їдати	zjiˈdate
заблоковувати	zɐbɫɔˈkɔwʊʋɐte
забруднити	zɐbrʊdˈnɪte
заважати	zɐʋɐˈʒate
завдяки	zɐu̯dʲɐˈkɪ
завзяття	zɐu̯ˈzʲatʲːɐ
завтрашній	ˈzau̯trɐʃnʲii̯
загибати	zɐɦeˈbate
загроза	zɐˈɦrɔzɐ
зазвичай	zɐzʋeˈt͡ʃai̯
зайвий	ˈzajʋei̯
законодавство	zɐkɔnɔˈdau̯stwɔ
закривавлений	zɐkreˈʋau̯ɫenei̯
закінчення	zɐˈkʲint͡ʃenʲːɐ
зал	zaɫ
залежний	zɐˈɫɛʒnei̯
залякати	zɐlʲɐˈkate
замах	ˈzamɐx
замок	ˈzamɔk
занепокоєння	zɐnepɔˈkɔjenʲːɐ
заощадити	zɐɔʃˈt͡ʃadete
запах	ˈzapɐx
запитати	zɐpeˈtate
заповнити	zɐˈpɔu̯nete
започаткувати	zɐpɔt͡ʃɐtkʊˈʋate
запрошувати	zɐˈprɔʃʊʋɐte
заробітний	zɐroˈbʲitnei̯
заручник	zɐˈrut͡ʃnek
засвідчувати	zɐsʲˈʋʲid͡ʒt͡ʃʊʋɐte
засновниця	zɐsˈnɔu̯net͡sʲɐ
застосовувати	zɐstɔˈsɔwʊʋɐte
заступник	zɐˈstupnek
затор	zɐˈtɔr
захисниця	zɐxesˈnɪt͡sʲɐ
захід	ˈzaxʲid
зацікавлювати	zɐt͡sʲiˈkau̯lʲʊʋɐte
збагачувати	zbɐˈɦat͡ʃʊʋɐte
збройні сили	ˈzbrɔi̯nʲi ˈsɪɫe
збіг	zʲbʲiɦ
звернутися	zʋerˈnutesʲɐ
звичайний	zʋeˈt͡ʃai̯nei̯
звужувати	ˈzwuʒʊʋɐte
звідти	ˈzʲʋʲidte
звісно	ˈzʲʋʲisnɔ
згодний	ˈzɦɔdnei̯
здатність	ˈzdatʲnʲisʲtʲ
здолати	zdɔˈɫate
зелений	zeˈɫɛnei̯
зерновий	zernɔˈʋɪi̯
зимувати	zemʊˈʋate
зловмисниця	zɫɔu̯ˈmɪsnet͡sʲɐ
злочинність	zɫɔˈt͡ʃɪnʲːisʲtʲ
зменшення	ˈzmɛnʃenʲːɐ
змушувати	ˈzmuʃʊʋɐte
зміняти	zʲmʲiˈnʲate
знак	znak
значити	ˈznat͡ʃete
зненацька	zneˈnat͡sʲkɐ
знизити	ˈznɪzete
зобов&#039;язувати	zɔbɔˈʋjazʊʋɐte
зовсім	ˈzɔu̯sʲim
зорієнтувати	zɔrʲijentʊˈʋate
зрештою	ˈzrɛʃtɔjʊ
зручність	ˈzrut͡ʃnʲisʲtʲ
зрілість	ˈzʲrʲilʲisʲtʲ
зубний	zʊbˈnɪi̯
зупиняти	zʊpeˈnʲate
зцілити	zʲt͡sʲiˈɫɪte
зібрати	zʲiˈbrate
зіставляти	zʲistɐu̯ˈlʲate
ирод	ˈɪrɔd
йод	jɔd
каблучка	kɐˈbɫut͡ʃkɐ
казати	kɐˈzate
каліграфія	kɐlʲiˈɦrafʲijɐ
кам&#039;яний	kɐmjɐˈnɪi̯
канадець	kɐˈnadet͡sʲ
канчук	kɐnˈt͡ʃuk
капуста	kɐˈpustɐ
кардіологічний	kɐrdʲiɔɫoˈɦʲit͡ʃnei̯
карта	ˈkartɐ
касувати	kɐsʊˈʋate
католицький	kɐtɔˈɫɪt͡sʲkei̯
качка	ˈkat͡ʃkɐ
квадрат	kʋɐˈdrat
келих	ˈkɛɫex
кипіти	keˈpʲite
кит	kɪt
кишеньковий злодій	keʃenʲˈkɔʋei̯ ˈzɫɔdʲii̯
класичний	kɫɐˈsɪt͡ʃnei̯
клоччя	ˈkɫɔt͡ʃʲːɐ
клініка	ˈklʲinʲikɐ
кнайпа	ˈknai̯pɐ
князь	knʲazʲ
кобила	kɔˈbɪɫɐ
ковтун	kɔu̯ˈtun
кожному своє	ˈkɔʒnɔmʊ swɔˈjɛ
коктейль Молотова	kɔkˈtɛi̯lʲ ˈmɔɫɔtɔʋɐ
колесо	ˈkɔɫesɔ
колода	kɔˈɫɔdɐ
комедія	kɔˈmɛdʲijɐ
комп&#039;ютеризація	kɔmpjʊtereˈzat͡sʲijɐ
компетенція	kɔmpeˈtɛnʲt͡sʲijɐ
комунікація	kɔmʊnʲiˈkat͡sʲijɐ
комір	ˈkɔmʲir
кондитер	kɔnˈdɪter
конкуренція	kɔnkʊˈrɛnʲt͡sʲijɐ
консервація	kɔnserˈʋat͡sʲijɐ
консультантка	kɔnsʊlʲˈtantkɐ
контрастувати	kɔntrɐstʊˈʋate
конференція	kɔnfeˈrɛnʲt͡sʲijɐ
концепт	kɔnˈt͡sɛpt
координувати	kɔɔrdenʊˈʋate
кора	kɔˈra
корзина	kɔrˈzɪnɐ
кориця	kɔˈrɪt͡sʲɐ
королева	kɔrɔˈɫɛʋɐ
коротше кажучи	kɔˈrɔt͡ʃʃe ˈkaʒʊt͡ʃe
косметичний	kɔsmeˈtɪt͡ʃnei̯
костел	kɔˈstɛɫ
коханець	kɔˈxanet͡sʲ
коштовний	kɔʃˈtɔu̯nei̯
красуня	krɐˈsunʲɐ
країна	krɐˈjinɐ
крейсер	ˈkrɛi̯ser
кречет	ˈkrɛt͡ʃet
криза	ˈkrɪzɐ
критика	ˈkrɪtekɐ
кровожерливий	krɔwɔˈʒɛrɫeʋei̯
кросівка	kroˈsʲiu̯kɐ
кудись	kʊˈdɪsʲ
культ	kulʲt
купа	ˈkupɐ
кур&#039;єр	kʊˈrjɛr
куртка	ˈkurtkɐ
кухарка	kʊˈxarkɐ
кібернетичний	kʲiberneˈtɪt͡ʃnei̯
кількість	ˈkʲilʲkʲisʲtʲ
кімоно	kʲimɔˈnɔ
кір	kʲir
лаваш	ɫɐˈʋaʃ
ламати	ɫɐˈmate
ласкавий	ɫɐˈskaʋei̯
лебідь	ˈɫɛbʲidʲ
легітимний	ɫeɦʲiˈtɪmnei̯
ледар	ˈɫɛdɐr
лижник	ˈɫɪʒnek
лис	ɫɪs
лицар	ˈɫɪt͡sɐr
логіка	ˈɫɔɦʲikɐ
локон	ˈɫɔkɔn
лось	ɫɔsʲ
любителька	lʲʊˈbɪtelʲkɐ
людський	lʲʊd͡zʲˈsʲkɪi̯
лялька	ˈlʲalʲkɐ
ліберал	lʲibeˈraɫ
лігво	ˈlʲiɦwɔ
ліки	ˈlʲike
лінивий	lʲiˈnɪʋei̯
літак	lʲiˈtak
літр	lʲitr
м&#039;ясо	ˈmjasɔ
магнетизм	mɐɦneˈtɪzm
майно	mɐi̯ˈnɔ
макарони	mɐkɐˈrɔne
малярство	mɐˈlʲarstwɔ
мандрувати	mɐndrʊˈʋate
маргіналізація	mɐrɦʲinɐlʲiˈzat͡sʲijɐ
мармур	ˈmarmʊr
маршрут	mɐrʃˈrut
масть	masʲtʲ
матрац	mɐˈtrat͡s
мегаліт	meɦɐˈlʲit
медовий місяць	meˈdɔʋei̯ ˈmʲisʲɐt͡sʲ
мексиканка	mekseˈkankɐ
мене звати	meˈnɛ ˈzʋate
менше	ˈmɛnʃe
месіанський	mesʲiˈanʲsʲkei̯
металургійний	metɐɫʊrˈɦʲii̯nei̯
методичний	metɔˈdɪt͡ʃnei̯
мешканець	ˈmɛʃkɐnet͡sʲ
милосердий	meɫɔˈsɛrdei̯
мир	mɪr
мисливиця	mesˈɫɪʋet͡sʲɐ
мить	mɪtʲ
мнякий	mnʲɐˈkɪi̯
мова	ˈmɔʋɐ
модрина	mɔˈdrɪnɐ
молодиця	mɔɫɔˈdɪt͡sʲɐ
монохромний	mɔnɔˈxrɔmnei̯
морквяний	mɔrkˈʋʲanei̯
мотоцикл	mɔtɔˈt͡sɪkɫ
мужній	ˈmuʒnʲii̯
муніципальний	mʊnʲit͡seˈpalʲnei̯
мусульманство	mʊsʊlʲˈmanstwɔ
мігрень	mʲiˈɦrɛnʲ
міжконфесійний	mʲiʒkɔnfeˈsʲii̯nei̯
мізантропія	mʲizɐnˈtrɔpʲijɐ
мікрохвильовка	mʲikrɔxʋeˈlʲɔu̯kɐ
мільйонер	mʲilʲjɔˈnɛr
мінімальна заробітна плата	mʲinʲiˈmalʲnɐ zɐroˈbʲitnɐ ˈpɫatɐ
містобудування	mʲistɔbʊdʊˈʋanʲːɐ
місіонер	mʲisʲiɔˈnɛr
мітинг	ˈmʲitenɦ
міхур	mʲiˈxur
набій	nɐˈbʲii̯
навколишнє середовище	nɐu̯ˈkɔɫeʃnʲe sereˈdɔʋeʃt͡ʃe
навігаційний	nɐʋʲiɦɐˈt͡sʲii̯nei̯
нагляд	ˈnaɦlʲɐd
надворі	nɐdˈwɔrʲi
надлюдський	nɐdʲˈlʲud͡zʲsʲkei̯
надійність	nɐˈdʲii̯nʲisʲtʲ
названий	ˈnazʋɐnei̯
найменше	nɐi̯ˈmɛnʃe
належати	nɐˈɫɛʒɐte
наочний	nɐˈɔt͡ʃnei̯
наполегливість	nɐpɔˈɫɛɦɫeʋʲisʲtʲ
напружувати	nɐˈpruʒʊʋɐte
нарешті	nɐˈrɛʃtʲi
народжувати	nɐˈrɔd͡ʒʊʋɐte
насміхатися	nɐsʲmʲiˈxatesʲɐ
настроїти	nɐˈstrɔjite
насіння	nɐˈsʲinʲːɐ
натомість	nɐˈtɔmʲisʲtʲ
нафта	ˈnaftɐ
начальство	nɐˈt͡ʃalʲstwɔ
небо	ˈnɛbɔ
невимовний	neʋeˈmɔu̯nei̯
неврологія	neu̯rɔˈɫɔɦʲijɐ
невіста	neˈʋʲistɐ
недавній	neˈdau̯nʲii̯
недорозвинений	nedɔrɔzˈʋɪnenei̯
недоторканий	nedɔˈtɔrkɐnei̯
незалежність	nezɐˈɫɛʒnʲisʲtʲ
нездоланний	nezdɔˈɫanːei̯
незрілість	nezʲˈrʲilʲisʲtʲ
нейтральний	nei̯ˈtralʲnei̯
немалий	nemɐˈɫɪi̯
ненаголошений	nenɐɦɔˈɫɔʃenei̯
необґрунтований	ɔbɡrʊnˈtɔʋɐnei̯
неофіційний	neɔfʲiˈt͡sʲii̯nei̯
непитущий	nepeˈtuʃt͡ʃei̯
непотрібний	nepoˈtʲrʲibnei̯
непридатний	nepreˈdatnei̯
нерегулярність	nereɦʊˈlʲarnʲisʲtʲ
нескінченність	nesʲkʲinˈt͡ʃɛnʲːisʲtʲ
несправедливий	nesprɐʋedˈɫɪʋei̯
несумісний	nesʊˈmʲisnei̯
неформальний	nefɔrˈmalʲnei̯
нещодавній	neʃt͡ʃɔˈdau̯nʲii̯
неіснування	neisnʊˈʋanʲːɐ
нині	ˈnɪnʲi
новаторство	nɔˈʋatɔrstwɔ
новорічний	nɔwoˈrʲit͡ʃnei̯
номер	ˈnɔmer
носій	noˈsʲii̯
ноші	ˈnɔʃʲi
нутрощі	ˈnutrɔʃt͡ʃʲi
ніколи	nʲiˈkɔɫe
німка	ˈnʲimkɐ
ніщо	nʲiʃˈt͡ʃɔ
об&#039;єднати	ɔbjedˈnate
обговорити	ɔbɦɔwɔˈrɪte
обеззброювати	ɔbezːˈbrɔjʊʋɐte
обласний	ɔbɫɐsˈnɪi̯
обмежений	ɔbˈmɛʒenei̯
оборонити	ɔbɔrɔˈnɪte
обрати	ɔˈbrate
обстріл	ˈɔbstʲrʲiɫ
обчислювати	ɔbˈt͡ʃɪsʲlʲʊʋɐte
обідати	oˈbʲidɐte
овечка	ɔˈʋɛt͡ʃkɐ
огляд	ˈɔɦlʲɐd
оден	ɔˈdɛn
одинадцять	ɔdeˈnad͡zʲt͡sʲɐtʲ
однокласник	ɔdnɔˈkɫasnek
однорідний	ɔdnoˈrʲidnei̯
одношлюбний	ɔdnoʃˈlʲubnei̯
ожина	ɔˈʒɪnɐ
ознайомлення	ɔznɐˈjɔmɫenʲːɐ
оксамит	ɔksɐˈmɪt
олігархія	ɔlʲiˈɦarxʲijɐ
онколог	ɔnˈkɔɫɔɦ
опариш	ɔˈpareʃ
оплачувати	ɔˈpɫat͡ʃʊʋɐte
опортуністка	ɔpɔrtʊˈnʲistkɐ
опублікувати	ɔpʊblʲikʊˈʋate
організатор	ɔrɦɐnʲiˈzatɔr
