-ahtaa	-ɑhtɑːˣ
Nikkilä	ˈnikːilæ
Nina	ˈni(ː)nɑ
Noora	ˈnoːrɑ
Norlanti	ˈnorlɑnti
Nousiainen	ˈnou̯siɑi̯nen
Nurmijärvi	ˈnurmiˌjærʋi
OYJ	ˈoːˌyːˌjiː
Oinas	ˈoi̯nɑs
Ojala	ˈojɑlɑ
Onni	ˈonːi
Oskari	ˈoskɑri
Ossi	ˈosːi
Oulu	ˈou̯lu
Paltamo	ˈpɑltɑmo
Peltola	ˈpeltolɑ
Pennsylvania	ˈpensilʋei̯niɑ
Pertunmaa	ˈpertunˌmɑː
Petra	ˈpetrɑ
Pieni koira	ˈpie̯ni ˈkoi̯rɑ
Pihla	ˈpihlɑ
Pirita	ˈpiritɑ
Pjongjang	ˈpjoŋjɑŋː
Polvijärvi	ˈpolʋiˌjærʋi
Pomarkku	ˈpomɑrkːu
Puolimatka	ˈpuo̯liˌmɑtkɑ
Pyhäjoki	ˈpyhæˌjoki
Pähkinälinna	ˈpæhkinæˌlinːɑ
Päivikki	ˈpæi̯ʋikːi
Päiviö	ˈpæi̯ʋiø
Ranua	ˈrɑnuɑ
Riitta	ˈriːtːɑ
Riku	ˈriku
Rissanen	ˈrisːɑnen
Ritva	ˈritʋɑ
Rossi	ˈrosːi
Ruija	ˈrui̯jɑ
aakkosnimi	ˈɑːkːosˌnimi
aallottaa	ˈɑːlːotːɑːˣ
aaltoilu	ˈɑːltoi̯lu
aamen	ˈɑːmen
aamuisin	ˈɑːmui̯sin
aamuneljä	ˈɑːmuˌneljæ
aamutyö	ˈɑːmuˌtyø̯
aapa	ˈɑːpɑ
aaria	ˈɑːriɑ
aasi	ˈɑːsi
aateli	ˈɑːteli
aatelointi	ˈɑːteloi̯nti
aavistaa	ˈɑːʋistɑːˣ
abdominaalinen	ˈɑbdominɑːlinen
ableismi	ˈɑblei̯smi
abrakadabra	ˈɑbrɑkɑdɑbrɑ
absorboituminen	ˈɑbsorboi̯tuminen
abstrakti	ˈɑbs.trɑkti
abuulinen	ˈɑbuːlinen
addiktoiva	ˈɑdːiktoi̯ʋɑ
adipolyysi	ˈɑdipolyːsi
adrenaliini	ˈɑdrenɑliːni
adverbi	ˈɑdʋerbi
aerodynamiikka	ˈɑeroˌdynɑmiːkːɑ
afgaani	ˈɑfɡɑːni
afrikkalainen	ˈɑfrikːɑlɑi̯nen
agalmatoliitti	ˈɑɡɑlmɑtoliːtːi
agility	ˈɑɡility
agogiikka	ˈɑɡoɡiːkːɑ
ahaa	ˈɑhɑː
ahdin	ˈɑhdin
ahdos	ˈɑhdos
ahma	ˈɑhmɑ
ahnehtia	ˈɑhnehtiɑˣ
ahtautuminen	ˈɑhtɑu̯tuminen
aiai	ˈɑi̯ɑi̯
aigeialainen	ˈɑi̯ɡei̯ɑlɑi̯nen
aiheuttaminen	ˈɑi̯heutːɑminen
aikaan	ˈɑi̯kɑːn
aikainen lintu madon nappaa	ˈɑi̯kɑi̯nen ˈlintu ˈmɑdon ˈnɑpːɑː
aikakatkaista	ˈɑi̯kɑˌkɑtkɑi̯stɑˣ
aikamatka	ˈɑi̯kɑˌmɑtkɑ
aikapommi	ˈɑi̯kɑˌpomːi
aikataulutus	ˈɑi̯kɑˌtɑu̯lutus
aikomus	ˈɑi̯komus
aineisto	ˈɑi̯nei̯sto
aioli	ˈɑi̯oli
airi	ˈɑi̯ri
aistinsisältö	ˈɑi̯stinˌsisæltø
aitomaksasammal	ˈɑi̯toˌmɑksɑˌsɑmːɑl
aivasteleminen	ˈɑi̯ʋɑsteleminen
aivokäyrä	ˈɑi̯ʋoˌkæy̯ræ
aivotieteilijä	ˈɑi̯ʋoˌtie̯tei̯lijæ
ajaa	ˈɑjɑːˣ
ajanhallinta	ˈɑjɑnˌhɑlːintɑ
ajanvaraus	ˈɑjɑnˌʋɑrɑus
ajaton	ˈɑjɑton
ajatusten Tonava	ˈɑjɑtusten ˈtonɑʋɑ
ajeluttaminen	ˈɑjelutːɑminen
ajoittaminen	ˈɑjoi̯tːɑminen
ajokone	ˈɑjoˌkoneˣ
ajoneuvotekniikka	ˈɑjoˌneu̯ʋoˌtekniːkːɑ
akku	ˈɑkːu
akkuvirta	ˈɑkːuˌʋirtɑ
akryylikuitu	ˈɑkryːliˌkui̯tu
aksentoida	ˈɑksentoi̯dɑˣ
aksoni	ˈɑksoni
aktiivistuminen	ˈɑktiːʋistuminen
aktivoituminen	ˈɑktiʋoi̯tuminen
akvaario	ˈɑkʋɑːrio
alailmakehä	ˈɑlɑˌilmɑˌkehæ
alajärveläinen	ˈɑlɑˌjærʋelæi̯nen
alakierrelyönti	ˈɑlɑˌkie̯rːeˣˌlyø̯nti
alakulminaatio	ˈɑlɑˌkulminɑːtio
alakynnessä	ˈɑlɑˌkynːesːæ
alalleen	ˈɑlɑlːeːn
alamäki	ˈɑlɑˌmæki
alanvalinta	ˈɑlɑnˌʋɑlintɑ
alapesu	ˈɑlɑˌpesu
alapuolelta	ˈɑlɑˌpuo̯leltɑ
alas	ˈɑlɑs
alaspäinmeno	ˈɑlɑsˌpæi̯nˌmeno
alasumma	ˈɑlɑˌsumːɑ
alatasokone	ˈɑlɑˌtɑsoˌkoneˣ
alatuulessa	ˈɑlɑˌtuːlesːɑ
alaviistossa	ˈɑlɑˌʋiːstosːɑ
alayhteisö	ˈɑlɑˌyhtei̯sø
alempana	ˈɑlempɑnɑ
alhaalle	ˈɑlhɑːlːeˣ
aliarviointi	ˈɑliˌɑrʋioi̯nti
alihinta	ˈɑliˌhintɑ
alikanta	ˈɑliˌkɑntɑ
alilauseke	ˈɑliˌlɑu̯sekeˣ
alimonoidi	ˈɑliˌmonoi̯di
alipaine	ˈɑliˌpɑi̯neˣ
alipääsihteeri	ˈɑliˌpæːˌsihteːri
alistua	ˈɑlistuɑˣ
alisuoriutuminen	ˈɑliˌsuo̯riu̯tuminen
alitse	ˈɑlitseˣ
aliupseerinarvo	ˈɑliˌupseːrinˌɑrʋo
alivalotus	ˈɑliˌʋɑlotus
aljo	ˈɑljo
alkalointi	ˈɑlkɑloi̯nti
alkeismatriisi	ˈɑlkei̯sˌmɑtriːsi
alkeisvarsikko	ˈɑlkei̯sˌʋɑrsikːo
alkoholi	ˈɑlkoholi
alkoholiprosentti	ˈɑlkoholiˌprosentːi
alkomahooli	ˈɑlkomɑhoːli
alkujaan	ˈɑlkujɑːn
alkukoulutus	ˈɑlkuˌkou̯lutus
alkulähde	ˈɑlkuˌlæhdeˣ
alkuopinnot	ˈɑlkuˌopinːot
alkuperäistila	ˈɑlkuˌperæi̯sˌtilɑ
alkuräjähdys	ˈɑlkuˌræjæhdys
alkusyy	ˈɑlkuˌsyː
alkutunnari	ˈɑlkuˌtunːɑri
alkuvauhti	ˈɑlkuˌʋɑu̯hti
allaniitti	ˈɑlːɑniːtːi
allekirjoittanut	ˈɑlːeˣˌkirjoi̯tːɑnut
allergisoituminen	ˈɑlːerɡisoi̯tuminen
allit	ˈɑlːit
almikki	ˈɑlmikːi
aloittava	ˈɑloi̯tːɑʋɑ
aloituspiste	ˈɑloi̯tusˌpisteˣ
alppiseutu	ˈɑlpːiˌseu̯tu
altis	ˈɑltis
altocumulus	ˈɑltoˌkumulus
alttaritaulu	ˈɑltːɑriˌtɑu̯lu
alu-	ˈɑlu-
aluekehittämistoiminta	ˈɑlueˣˌkehitːæmisˌtoi̯mintɑ
alueohjelma	ˈɑlueˣˌohjelmɑ
aluevaatimus	ˈɑlueˣˌʋɑːtimus
alula	ˈɑlulɑ
alun perin	ˈɑlun ˈperin
aluspuku	ˈɑlusˌpuku
alusvaatteisilleen	ˈɑlusˌʋɑːtːei̯silːeːn
amalgaami	ˈɑmɑlɡɑːmi
amazoninmanaatti	ˈɑmɑtsoninˌmɑnɑːtːi
amenorrea	ˈɑmenorːeɑ
amerikkalainen	ˈɑmerikːɑlɑi̯nen
aminohippurihappo	ˈɑminoˌhipːuriˌhɑpːo
amk-insinööri	ˈɑːˌæmˌkoːˌinsinøːri
ammattikirja	ˈɑmːɑtːiˌkirjɑ
ammattimerkki	ˈɑmːɑtːiˌmerkːi
amme	ˈɑmːeˣ
ammonilainen	ˈɑmːonilɑi̯nen
ammuskelu	ˈɑmːuskelu
ampua	ˈɑmpuɑˣ
ampumapesäke	ˈɑmpumɑˌpesækeˣ
amygdaliini	ˈɑmyɡdɑliːni
anakronistinen	ˈɑnɑˌkronistinen
analyyttinen geometria	ˈɑnɑlyːtːinen ˈɡeometriɑ
anarkistinen	ˈɑnɑrkistinen
anatominen	ˈɑnɑtominen
andrologia	ˈɑndroloɡiɑ
anergia	ˈɑnerɡiɑ
angiogeneesi	ˈɑŋːioˌɡeneːsi
angsti	ˈɑŋsti
anioni	ˈɑnioni
anjovis	ˈɑnjoʋis
ankkalinnalainen	ˈɑŋkːɑˌlinːɑlɑi̯nen
anniskelupassi	ˈɑnːiskeluˌpɑsːi
annotaatio	ˈɑnːotɑːtio
anopikset	ˈɑnopikset
ansas	ˈɑnsɑs
ansiotarkoitus	ˈɑnsioˌtɑrkoi̯tus
antediluviaani	ˈɑntediluʋiɑːni
antidepressantti	ˈɑntiˌdepresːɑntːi
antikommutointi	ˈɑntiˌkomːutoi̯nti
antimyoni	ˈɑntiˌmyoni
antonyymi	ˈɑntonyːmi
aoristi	ˈɑoristi
apara	ˈɑpɑrɑ
apeutuminen	ˈɑpeu̯tuminen
apliitti	ˈɑpliːtːi
apolloperhonen	ˈɑpolːoˌperhonen
appela	ˈɑpːelɑ
approksimatiivi	ˈɑpːroksimɑtiːʋi
apriorisesti	ˈɑˌpriorisestiˣ
apulause	ˈɑpuˌlɑu̯seˣ
apuvalmentaja	ˈɑpuˌʋɑlmentɑjɑ
araknologia	ˈɑrɑknoˌloɡiɑ
areafunktio	ˈɑreɑˌfuŋktio
arginaasi	ˈɑrɡinɑːsi
aridi	ˈɑridi
aristotelismi	ˈɑristotelismi
arkaainen	ˈɑrkɑːinen
arkanahkainen	ˈɑrkɑˌnɑhkɑi̯nen
arki	ˈɑrki
arkinsyöttölaite	ˈɑrkinˌsyø̯tːøˌlɑi̯teˣ
arkiruoka	ˈɑrkiˌruo̯kɑ
arkistokelpoinen	ˈɑrkistoˌkelpoi̯nen
arkitunnelma	ˈɑrkiˌtunːelmɑ
arkkipainokone	ˈɑrkːiˌpɑi̯noˌkoneˣ
arkkutuoli	ˈɑrkːuˌtuo̯li
armas	ˈɑrmɑs
armenialainen	ˈɑrmeniɑlɑi̯nen
armoleipä	ˈɑrmoˌlei̯pæ
arokasvi	ˈɑroˌkɑsʋi
arpa	ˈɑrpɑ
arpeggiaattori	ˈɑrpeɡːiɑːtːori
arsenikkimyrkytys	ˈɑrsenikːiˌmyrkytys
artikulaatio	ˈɑrtikulɑːtio
arvata	ˈɑrʋɑtɑˣ
arvelu	ˈɑrʋelu
arvioiminen	ˈɑrʋioi̯minen
arviosumma	ˈɑrʋioˌsumːɑ
arvoasema	ˈɑrʋoˌɑsemɑ
arvojohtaja	ˈɑrʋoˌjohtɑjɑ
arvokilpi	ˈɑrʋoˌkilpi
arvoleima	ˈɑrʋoˌlei̯mɑ
arvonimistö	ˈɑrʋoˌnimistø
arvonnousuvero	ˈɑrʋonˌnou̯suˌʋero
arvopaperisalkku	ˈɑrʋoˌpɑperiˌsɑlkːu
arvosidonnaisuus	ˈɑrʋoˌsidonːɑi̯suːs
arvostelukyvytön	ˈɑrʋosteluˌkyʋytøn
arvoton	ˈɑrʋoton
arvoväritys	ˈɑrʋoˌʋæritys
aseapu	ˈɑseˣˌɑpu
aseistariisuva	ˈɑsei̯stɑˌriːsuʋɑ
asemalaituri	ˈɑsemɑˌlɑi̯turi
asenne	ˈɑsenːeˣ
asetaattifilmi	ˈɑsetɑːtːiˌfilmi
asettautuminen	ˈɑsetːɑu̯tuminen
asetusjousi	ˈɑsetusˌjou̯si
asfaltoida	ˈɑsfɑltoi̯dɑˣ
asiakasohjelma	ˈɑsiɑkɑsˌohjelmɑ
asianajotoimi	ˈɑsiɑnˌɑjoˌtoi̯mi
asiantila	ˈɑsiɑnˌtilɑ
asiantuntijalausunto	ˈɑsiɑnˌtuntijɑˌlɑu̯sunto
asiasuomi	ˈɑsiɑˌsuo̯mi
asikkalainen	ˈɑsikːɑlɑi̯nen
askare	ˈɑskɑreˣ
askartelunohjaaja	ˈɑskɑrtelunˌohjɑːjɑ
askelpalautin	ˈɑskelˌpɑlɑu̯tin
aspi	ˈɑspi
assimiloitua	ˈɑsːimiloi̯tuɑˣ
assyriologia	ˈɑsːyrioloɡiɑ
astemitta	ˈɑsteˣˌmitːɑ
astian maku	ˈɑstiɑn ˈmɑku
astrologia	ˈɑstroloɡiɑ
astuttaa	ˈɑstutːɑːˣ
asuinpaikkakunta	ˈɑsui̯nˌpɑi̯kːɑˌkuntɑ
asukasneuvosto	ˈɑsukɑsˌneu̯ʋosto
asumisedellytys	ˈɑsumisˌedelːytys
asumistukijärjestelmä	ˈɑsumisˌtukiˌjærjestelmæ
asunto-osake	ˈɑsuntoˌ(ʔ)osɑkeˣ
asuntosäilö	ˈɑsuntoˌsæi̯lø
asvaltoida	ˈɑsʋɑltoi̯dɑˣ
ateria	ˈɑteriɑ
atk-ajokortti	ˈɑːˌteːˌkoːˌɑjoˌkortːi
atomiorbitaali	ˈɑtomiˌorbitɑːli
atsoväri	ˈɑtsoˌʋæri
atulat	ˈɑtulɑt
audiometria	ˈɑu̯dioˌmetriɑ
aukaisin	ˈɑu̯kɑi̯sin
aukominen	ˈɑu̯kominen
auringonpistos	ˈɑu̯riŋːonˌpistos
aurinkoautografi	ˈɑu̯riŋkoˌɑu̯toɡrɑfi
aurinkolasit	ˈɑu̯riŋkoˌlɑsit
aurinkovene	ˈɑu̯riŋkoˌʋeneˣ
australialaisnainen	ˈɑu̯strɑliɑlɑi̯sˌnɑi̯nen
autioitua	ˈɑu̯tioi̯tuɑˣ
autografi	ˈɑu̯toɡrɑfi
autojuna	ˈɑu̯toˌjunɑ
automaattikytkin	ˈɑu̯tomɑːtːiˌkytkin
automaattivaihteisto	ˈɑu̯tomɑːtːiˌʋɑi̯htei̯sto
autonrengas	ˈɑu̯tonˌreŋːɑs
autorata	ˈɑu̯toˌrɑtɑ
autotomia	ˈɑu̯totomiɑ
auvo	ˈɑu̯ʋo
avain	ˈɑʋɑi̯n
avainpari	ˈɑʋɑi̯nˌpɑri
avantosukellus	ˈɑʋɑntoˌsukelːus
avaruus	ˈɑʋɑruːs
avaruuskvantittuminen	ˈɑʋɑruːsˌkʋɑntitːuminen
avaruusraketti	ˈɑʋɑruːsˌrɑketːi
avaskulaarinen	ˈɑʋɑskulɑːrinen
avekki	ˈɑʋekːi
avioida	ˈɑʋioi̯dɑˣ
avitus	ˈɑʋitus
avokysymys	ˈɑʋoˌkysymys
avosydäminen	ˈɑʋoˌsydæm(ː)inen
avustajakoira	ˈɑʋustɑjɑˌkoi̯rɑ
b-molli	ˈbeːˌmolːi
baba	ˈbɑbɑ
bahá&#039;í-usko	ˈbɑhɑːiːˌusko
baittari	ˈbɑi̯tːɑri
balalaikka	ˈbɑlɑlɑi̯kːɑ
balkanmakkara	ˈbɑlkɑnˌmɑkːɑrɑ
bambupuupöytä	ˈbɑmbuˌpuːˌpøy̯tæ
banaaniorava	ˈbɑnɑːniˌorɑʋɑ
bantu	ˈbɑntu
barbituurihappo	ˈbɑrbituːriˌhɑpːo
basalttinen	ˈbɑsɑltːinen
basofiili	ˈbɑsofiːli
bavaroise	ˈbɑʋɑruɑːs
beignet	ˈbenjeː
bensapumppu	ˈbensɑˌpumpːu
berardinvalas	ˈberɑrdinˌʋɑlɑs
berninpaimenkoira	ˈberninˌpɑi̯menˌkoi̯rɑ
betonireikätiili	ˈbetoniˌrei̯kæˌtiːli
bibliografia	ˈbiblioɡrɑfiɑ
bilateraalisuus	ˈbilɑterɑːlisuːs
binaaripuu	ˈbinɑːriˌpuː
bioakustiikka	ˈbioɑkustiːkːɑ
biogerontologi	ˈbioˌɡerontoˌloɡi
biolasi	ˈbioˌlɑsi
bioniikka	ˈbioniːkːɑ
biosimilaari	ˈbioˌsimilɑːri
bioturbaatio	ˈbioˌturbɑːtio
bisnes	ˈbisnes
bitumikeitin	ˈbitumiˌkei̯tin
blankoluotto	ˈblɑŋkoˌluo̯tːo
blogata	ˈbloɡɑtɑˣ
blondaus	ˈblondɑus
body	ˈbody
boikotti	ˈboi̯kotːi
bolševikki	ˈbolʃeʋikːi
boorihappo	ˈboːriˌhɑpːo
boronihappo	ˈboroniˌhɑpːo
botti	ˈbotːi
breseerata	ˈbreseːrɑtɑˣ
briiffi	ˈbriːfːi
bromifenolisininen	ˈbromiˌfenoliˌsininen
brutaali	ˈbrutɑːli
brändi	ˈbrændi
budjettikeskustelu	ˈbudjetːiˌkeskustelu
bulgarialainen	ˈbulɡɑ(ː)riɑlɑi̯nen
bungata	ˈbuŋːɑtɑˣ
burrito	ˈburːito
bussoli	ˈbusːoli
byrokraattistua	ˈbyrokrɑːtːistuɑˣ
bärsse	ˈbærsːeˣ
bébé	ˈbebeː
camembert	ˈkɑmembæːr
cee	ˈseː
cerium	ˈseːri.um
chalaza	ˈkɑlɑtsɑ
chikungunya	ˈtʃikuŋɡunjɑ
chow chow	ˈtʃou̯ˌtʃou̯
city-maasturi	ˈsitiˌmɑːsturi
cocktailkastike	ˈkoktei̯lˌkɑstikeˣ
comeback	ˈkæmbæk
couscous	ˈkuskus
cumulonimbus	ˈkumuloˌnimbus
dagerrotypia	ˈdɑɡerːoˌtypiɑ
damastinen	ˈdɑmɑstinen
data-analyysi	ˈdɑtɑˌ(ʔ)ɑnɑlyːsi
deaminaasi	ˈde.ɑminɑːsi
dedis	ˈdedis
degeneraatioaste	ˈdeɡenerɑːtioˌɑsteˣ
deittailu	ˈdei̯tːɑi̯lu
dekonvoluutio	ˈdekonʋoluːtio
dementoituminen	ˈdementoi̯tuminen
demokraattistaa	ˈdemokrɑːtːistɑːˣ
demonisoida	ˈdemonisoi̯dɑˣ
dendriitti	ˈdendriːtːi
densitometria	ˈdensitometriɑ
depressiolääke	ˈdepresːioˌlæːkeˣ
deses	ˈdeses
desimaalimuoto	ˈdesimɑːliˌmuo̯to
detaljoitu	ˈdetɑljoi̯tu
diabaattinen	ˈdiɑbɑːtːinen
diagnostinen	ˈdiɑɡnostinen
diakonissa	ˈdiɑkonisːɑ
dianetiikka	ˈdiɑnetiːkːɑ
dieeni	ˈdie̯ːni
dieselvero	ˈdiːs(ː)elˌʋero
diffraktometri	ˈdifːrɑktoˌmetri
digi-tv	ˈdiɡiˌteːʋeː
digitalisoiminen	ˈdiɡitɑlisoi̯minen
dijoninsinappi	ˈdijoninˌsinɑpːi
dimetyylihydratsiini	ˈdimetyːliˌhydrɑtsiːni
dipata	ˈdipɑtɑˣ
dippi	ˈdipːi
disharmonia	ˈdis.hɑrmoniɑ
diskordanssi	ˈdiskordɑnsːi
dispergoitua	ˈdisperɡoi̯tuɑˣ
dissosiatiivinen	ˈdisːosiɑtiːʋinen
disulfiraami	ˈdisulfirɑːmi
divertikkeli	ˈdiʋertikːeli
dogmatiikka	ˈdoɡmɑtiːkːɑ
dokumenttikamera	ˈdokumentːiˌkɑmerɑ
dominantti	ˈdominɑntːi
doomscrollaus	ˈduːmˌskrolːɑus
draiveri	ˈdrɑi̯ʋeri
dromedaari	ˈdromedɑːri
dubbaus	ˈdubːɑus
duplikoida	ˈduplikoi̯dɑˣ
dynamiikka	ˈdynɑmiːkːɑ
dysleksia	ˈdysleksiɑ
dödata	ˈdødɑtɑˣ
e-lasku	ˈeːˌlɑsku
edamjuusto	ˈedɑmˌjuːsto
edelliskertainen	ˈedelːisˌkertɑi̯nen
edelläoleva	ˈedelːæˌoleʋɑ
edempää	ˈedempæː
edesvastuu	ˈedesˌʋɑstuː
edistymispalkki	ˈedistymisˌpɑlkːi
edukkuus	ˈedukːuːs
eduskuntakatsaus	ˈedusˌkuntɑˌkɑtsɑus
edusta	ˈedustɑ
edustajantoimi	ˈedustɑjɑnˌtoi̯mi
edustuselin	ˈedustusˌelin
edustustehtävä	ˈedustusˌtehtæʋæ
eesti	ˈeːsti
egyptologi	ˈeɡyptoˌloɡi
ehdonvalta	ˈehdonˌʋɑltɑ
eheyttäminen	ˈeheytːæminen
ehkäistä	ˈehkæi̯stæˣ
ehkäisyvaahto	ˈehkæi̯syˌʋɑːhto
ehtolaiskuulustelu	ˈehtolɑi̯sˌkuːlustelu
ehtoollispöytä	ˈehtoːlːisˌpøy̯tæ
ei mitään	ˈei̯ ˈmitæːn
eine	ˈei̯neˣ
einsteinilainen	ˈɑi̯nstɑi̯nilɑi̯nen
eka	ˈekɑ
ekobetonointi	ˈekoˌbetonoi̯nti
ekolääni	ˈekoˌlæːni
ekosfääri	ˈekoˌsfæːri
ekovelkapäivä	ˈekoˌʋelkɑˌpæi̯ʋæ
eksergia	ˈekserɡiɑ
eksitoni	ˈeksitoni
eksoottinen	ˈeksoːtːinen
eksploitaatio	ˈeksploi̯tɑːtio
eksponoida	ˈeksponoi̯dɑˣ
ekstensometri	ˈekstensoˌmetri
ekstremistinen	ˈekstremistinen
eksyttäminen	ˈeksytːæminen
ekvatoriaali	ˈekʋɑtoriɑːli
elatusvara	ˈelɑtusˌʋɑrɑ
eleganttius	ˈeleɡɑntːius
elektroenkefalogrammi	ˈelektroˌeŋkefɑloˌɡrɑmːi
elektromigraatio	ˈelektroˌmiɡrɑːtio
elektroniikkainsinööri	ˈelektroniːkːɑˌinsinøːri
elektronisesti	ˈelektronisestiˣ
elementti	ˈelementːi
elikkä	ˈelikːæ
elimistö	ˈelimistø
elinajanodote	ˈelinˌɑjɑnˌodoteˣ
elinkaarikustannus	ˈelinˌkɑːriˌkustɑnːus
elinkeinoilmoitus	ˈelinˌkei̯noˌilmoi̯tus
elinkeinoverotus	ˈelinˌkei̯noˌʋerotus
elinluovuttaja	ˈelinˌluo̯ʋutːɑjɑ
